Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,066214,2024,05,17,12.4
IDCJAC0016,066214,2024,05,18,10.2
IDCJAC0016,066214,2024,05,19,12.2
IDCJAC0016,066214,2024,05,20,9.2
IDCJAC0016,066214,2024,05,21,10.2
IDCJAC0016,066214,2024,05,22,12.0
IDCJAC0016,066214,2024,05,23,11.9
IDCJAC0016,066214,2024,05,24,11.7
IDCJAC0016,066214,2024,05,25,8.9
IDCJAC0016,066214,2024,05,26,11.7
IDCJAC0016,066214,2024,05,27,11.6
IDCJAC0016,066214,2024,05,28,11.6
IDCJAC0016,066214,2024,05,29,11.5
IDCJAC0016,066214,2024,05,30,11.4
IDCJAC0016,066214,2024,05,31,4.2
IDCJAC0016,066214,2024,06,01,2.7
IDCJAC0016,066214,2024,06,02,8.5
IDCJAC0016,066214,2024,06,03,10.5
IDCJAC0016,066214,2024,06,04,9.9
IDCJAC0016,066214,2024,06,05,7.4
IDCJAC0016,066214,2024,06,06,5.4
IDCJAC0016,066214,2024,06,07,7.3
IDCJAC0016,066214,2024,06,08,7.1
IDCJAC0016,066214,2024,06,09,10.6
IDCJAC0016,066214,2024,06,10,10.4
IDCJAC0016,066214,2024,06,11,6.5
IDCJAC0016,066214,2024,06,12,9.2
IDCJAC0016,066214,2024,06,13,9.6
IDCJAC0016,066214,2024,06,14,5.6
IDCJAC0016,066214,2024,06,15,6.1
IDCJAC0016,066214,2024,06,16,10.9
IDCJAC0016,066214,2024,06,17,7.3
IDCJAC0016,066214,2024,06,18,10.7
IDCJAC0016,066214,2024,06,19,10.9
IDCJAC0016,066214,2024,06,20,10.7
IDCJAC0016,066214,2024,06,21,10.7
IDCJAC0016,066214,2024,06,22,4.2
IDCJAC0016,066214,2024,06,23,8.6
IDCJAC0016,066214,2024,06,24,10.7
IDCJAC0016,066214,2024,06,25,11.0
IDCJAC0016,066214,2024,06,26,11.0
IDCJAC0016,066214,2024,06,27,11.0
IDCJAC0016,066214,2024,06,28,11.1
IDCJAC0016,066214,2024,06,29,9.5
IDCJAC0016,066214,2024,06,30,5.5
IDCJAC0016,066214,2024,07,01,10.3
IDCJAC0016,066214,2024,07,02,9.5
IDCJAC0016,066214,2024,07,03,9.3
IDCJAC0016,066214,2024,07,04,9.4
IDCJAC0016,066214,2024,07,05,9.5
IDCJAC0016,066214,2024,07,06,8.3
IDCJAC0016,066214,2024,07,07,8.3
IDCJAC0016,066214,2024,07,08,7.0
IDCJAC0016,066214,2024,07,09,8.7
IDCJAC0016,066214,2024,07,10,10.5
IDCJAC0016,066214,2024,07,11,10.3
IDCJAC0016,066214,2024,07,12,11.3
IDCJAC0016,066214,2024,07,13,9.8
IDCJAC0016,066214,2024,07,14,11.3
IDCJAC0016,066214,2024,07,15,11.9
IDCJAC0016,066214,2024,07,16,8.2
IDCJAC0016,066214,2024,07,17,10.6
IDCJAC0016,066214,2024,07,18,12.0
IDCJAC0016,066214,2024,07,19,10.9
IDCJAC0016,066214,2024,07,20,11.3
IDCJAC0016,066214,2024,07,21,12.3
IDCJAC0016,066214,2024,07,22,11.5
IDCJAC0016,066214,2024,07,23,12.5
IDCJAC0016,066214,2024,07,24,12.0
IDCJAC0016,066214,2024,07,25,11.2
IDCJAC0016,066214,2024,07,26,12.3
IDCJAC0016,066214,2024,07,27,7.9
IDCJAC0016,066214,2024,07,28,12.9
IDCJAC0016,066214,2024,07,29,10.2
IDCJAC0016,066214,2024,07,30,9.1
IDCJAC0016,066214,2024,07,31,9.4
IDCJAC0016,066214,2024,08,01,7.9
IDCJAC0016,066214,2024,08,02,10.5
IDCJAC0016,066214,2024,08,03,13.4
IDCJAC0016,066214,2024,08,04,11.2
IDCJAC0016,066214,2024,08,05,8.0
IDCJAC0016,066214,2024,08,06,12.5
IDCJAC0016,066214,2024,08,07,14.0
IDCJAC0016,066214,2024,08,08,14.1
IDCJAC0016,066214,2024,08,09,11.9
IDCJAC0016,066214,2024,08,10,13.2
IDCJAC0016,066214,2024,08,11,12.9
