Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,066214,2024,04,08,25.5,1,Y
IDCJAC0010,066214,2024,04,09,22.5,1,Y
IDCJAC0010,066214,2024,04,10,21.4,1,Y
IDCJAC0010,066214,2024,04,11,22.4,1,Y
IDCJAC0010,066214,2024,04,12,24.7,1,Y
IDCJAC0010,066214,2024,04,13,25.0,1,Y
IDCJAC0010,066214,2024,04,14,25.7,1,Y
IDCJAC0010,066214,2024,04,15,26.2,1,Y
IDCJAC0010,066214,2024,04,16,25.0,1,Y
IDCJAC0010,066214,2024,04,17,23.3,1,Y
IDCJAC0010,066214,2024,04,18,24.8,1,Y
IDCJAC0010,066214,2024,04,19,22.5,1,Y
IDCJAC0010,066214,2024,04,20,18.9,1,Y
IDCJAC0010,066214,2024,04,21,21.6,1,Y
IDCJAC0010,066214,2024,04,22,24.3,1,Y
IDCJAC0010,066214,2024,04,23,25.7,1,Y
IDCJAC0010,066214,2024,04,24,26.3,1,Y
IDCJAC0010,066214,2024,04,25,22.4,1,Y
IDCJAC0010,066214,2024,04,26,21.2,1,Y
IDCJAC0010,066214,2024,04,27,23.4,1,Y
IDCJAC0010,066214,2024,04,28,24.9,1,Y
IDCJAC0010,066214,2024,04,29,27.7,1,Y
IDCJAC0010,066214,2024,04,30,19.8,1,Y
IDCJAC0010,066214,2024,05,01,18.9,1,Y
IDCJAC0010,066214,2024,05,02,19.8,1,Y
IDCJAC0010,066214,2024,05,03,16.8,1,Y
IDCJAC0010,066214,2024,05,04,19.5,1,Y
IDCJAC0010,066214,2024,05,05,19.2,1,Y
IDCJAC0010,066214,2024,05,06,22.3,1,Y
IDCJAC0010,066214,2024,05,07,23.3,1,Y
IDCJAC0010,066214,2024,05,08,21.3,1,Y
IDCJAC0010,066214,2024,05,09,20.1,1,Y
IDCJAC0010,066214,2024,05,10,19.8,1,Y
IDCJAC0010,066214,2024,05,11,17.1,1,Y
IDCJAC0010,066214,2024,05,12,22.5,1,Y
IDCJAC0010,066214,2024,05,13,21.3,1,Y
IDCJAC0010,066214,2024,05,14,23.1,1,Y
IDCJAC0010,066214,2024,05,15,,,
IDCJAC0010,066214,2024,05,16,22.6,1,Y
IDCJAC0010,066214,2024,05,17,23.7,1,Y
IDCJAC0010,066214,2024,05,18,15.9,1,Y
IDCJAC0010,066214,2024,05,19,20.0,1,Y
IDCJAC0010,066214,2024,05,20,18.5,1,Y
IDCJAC0010,066214,2024,05,21,18.7,1,Y
IDCJAC0010,066214,2024,05,22,20.7,1,Y
IDCJAC0010,066214,2024,05,23,21.3,1,Y
IDCJAC0010,066214,2024,05,24,21.9,1,Y
IDCJAC0010,066214,2024,05,25,19.0,1,Y
IDCJAC0010,066214,2024,05,26,22.1,1,Y
IDCJAC0010,066214,2024,05,27,21.3,1,Y
IDCJAC0010,066214,2024,05,28,22.4,1,Y
IDCJAC0010,066214,2024,05,29,21.3,1,Y
IDCJAC0010,066214,2024,05,30,24.2,1,Y
IDCJAC0010,066214,2024,05,31,20.8,1,Y
IDCJAC0010,066214,2024,06,01,15.8,1,Y
IDCJAC0010,066214,2024,06,02,16.6,1,Y
IDCJAC0010,066214,2024,06,03,19.0,1,Y
IDCJAC0010,066214,2024,06,04,18.2,1,Y
IDCJAC0010,066214,2024,06,05,18.5,1,Y
IDCJAC0010,066214,2024,06,06,16.3,1,Y
IDCJAC0010,066214,2024,06,07,19.3,1,Y
IDCJAC0010,066214,2024,06,08,19.1,1,Y
IDCJAC0010,066214,2024,06,09,21.2,1,Y
IDCJAC0010,066214,2024,06,10,18.3,1,Y
IDCJAC0010,066214,2024,06,11,16.6,1,Y
IDCJAC0010,066214,2024,06,12,19.1,1,Y
IDCJAC0010,066214,2024,06,13,16.8,1,Y
IDCJAC0010,066214,2024,06,14,14.4,1,Y
IDCJAC0010,066214,2024,06,15,13.9,1,Y
IDCJAC0010,066214,2024,06,16,17.1,1,Y
IDCJAC0010,066214,2024,06,17,16.3,1,Y
IDCJAC0010,066214,2024,06,18,18.4,1,Y
IDCJAC0010,066214,2024,06,19,17.7,1,Y
IDCJAC0010,066214,2024,06,20,17.8,1,Y
IDCJAC0010,066214,2024,06,21,19.5,1,Y
IDCJAC0010,066214,2024,06,22,12.1,1,Y
IDCJAC0010,066214,2024,06,23,16.1,1,Y
IDCJAC0010,066214,2024,06,24,18.7,1,Y
IDCJAC0010,066214,2024,06,25,20.5,1,Y
IDCJAC0010,066214,2024,06,26,22.0,1,Y
IDCJAC0010,066214,2024,06,27,20.4,1,Y
IDCJAC0010,066214,2024,06,28,19.7,1,Y
IDCJAC0010,066214,2024,06,29,20.4,1,Y
IDCJAC0010,066214,2024,06,30,14.5,1,Y
IDCJAC0010,066214,2024,07,01,16.1,1,Y
IDCJAC0010,066214,2024,07,02,16.7,1,Y
IDCJAC0010,066214,2024,07,03,16.6,1,Y
IDCJAC0010,066214,2024,07,04,18.3,1,Y
IDCJAC0010,066214,2024,07,05,17.6,1,Y
IDCJAC0010,066214,2024,07,06,17.9,1,Y
IDCJAC0010,066214,2024,07,07,17.6,1,Y
IDCJAC0010,066214,2024,07,08,16.8,1,Y
IDCJAC0010,066214,2024,07,09,20.9,1,Y
IDCJAC0010,066214,2024,07,10,19.9,1,Y
IDCJAC0010,066214,2024,07,11,17.0,1,Y
IDCJAC0010,066214,2024,07,12,19.7,1,Y
IDCJAC0010,066214,2024,07,13,17.7,1,Y
IDCJAC0010,066214,2024,07,14,17.9,1,Y
IDCJAC0010,066214,2024,07,15,16.2,1,Y
IDCJAC0010,066214,2024,07,16,15.9,1,Y
IDCJAC0010,066214,2024,07,17,19.4,1,Y
IDCJAC0010,066214,2024,07,18,19.0,1,Y
