Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,086338,2024,04,29,5.7
IDCJAC0016,086338,2024,04,30,6.9
IDCJAC0016,086338,2024,05,01,12.2
IDCJAC0016,086338,2024,05,02,9.5
IDCJAC0016,086338,2024,05,03,10.9
IDCJAC0016,086338,2024,05,04,10.0
IDCJAC0016,086338,2024,05,05,8.9
IDCJAC0016,086338,2024,05,06,11.2
IDCJAC0016,086338,2024,05,07,11.4
IDCJAC0016,086338,2024,05,08,10.8
IDCJAC0016,086338,2024,05,09,6.7
IDCJAC0016,086338,2024,05,10,7.0
IDCJAC0016,086338,2024,05,11,8.5
IDCJAC0016,086338,2024,05,12,11.1
IDCJAC0016,086338,2024,05,13,10.0
IDCJAC0016,086338,2024,05,14,9.3
IDCJAC0016,086338,2024,05,15,10.6
IDCJAC0016,086338,2024,05,16,10.7
IDCJAC0016,086338,2024,05,17,4.7
IDCJAC0016,086338,2024,05,18,10.5
IDCJAC0016,086338,2024,05,19,5.6
IDCJAC0016,086338,2024,05,20,6.9
IDCJAC0016,086338,2024,05,21,6.5
IDCJAC0016,086338,2024,05,22,9.9
IDCJAC0016,086338,2024,05,23,9.6
IDCJAC0016,086338,2024,05,24,6.9
IDCJAC0016,086338,2024,05,25,8.4
IDCJAC0016,086338,2024,05,26,9.9
IDCJAC0016,086338,2024,05,27,9.8
IDCJAC0016,086338,2024,05,28,9.8
IDCJAC0016,086338,2024,05,29,9.7
IDCJAC0016,086338,2024,05,30,5.3
IDCJAC0016,086338,2024,05,31,8.6
IDCJAC0016,086338,2024,06,01,7.8
IDCJAC0016,086338,2024,06,02,6.9
IDCJAC0016,086338,2024,06,03,5.6
IDCJAC0016,086338,2024,06,04,6.2
IDCJAC0016,086338,2024,06,05,7.3
IDCJAC0016,086338,2024,06,06,8.6
IDCJAC0016,086338,2024,06,07,6.7
IDCJAC0016,086338,2024,06,08,5.5
IDCJAC0016,086338,2024,06,09,5.3
IDCJAC0016,086338,2024,06,10,9.0
IDCJAC0016,086338,2024,06,11,4.6
IDCJAC0016,086338,2024,06,12,7.9
IDCJAC0016,086338,2024,06,13,3.6
IDCJAC0016,086338,2024,06,14,6.7
IDCJAC0016,086338,2024,06,15,7.9
IDCJAC0016,086338,2024,06,16,7.5
IDCJAC0016,086338,2024,06,17,7.1
IDCJAC0016,086338,2024,06,18,7.5
IDCJAC0016,086338,2024,06,19,9.1
IDCJAC0016,086338,2024,06,20,7.6
IDCJAC0016,086338,2024,06,21,7.2
IDCJAC0016,086338,2024,06,22,7.2
IDCJAC0016,086338,2024,06,23,9.1
IDCJAC0016,086338,2024,06,24,7.2
IDCJAC0016,086338,2024,06,25,7.4
IDCJAC0016,086338,2024,06,26,8.7
IDCJAC0016,086338,2024,06,27,8.1
IDCJAC0016,086338,2024,06,28,8.7
IDCJAC0016,086338,2024,06,29,3.6
