Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,040913,2024,04,29,15.6
IDCJAC0016,040913,2024,04,30,14.6
IDCJAC0016,040913,2024,05,01,16.4
IDCJAC0016,040913,2024,05,02,14.2
IDCJAC0016,040913,2024,05,03,10.7
IDCJAC0016,040913,2024,05,04,9.5
IDCJAC0016,040913,2024,05,05,14.5
IDCJAC0016,040913,2024,05,06,13.9
IDCJAC0016,040913,2024,05,07,14.3
IDCJAC0016,040913,2024,05,08,12.3
IDCJAC0016,040913,2024,05,09,10.8
IDCJAC0016,040913,2024,05,10,13.6
IDCJAC0016,040913,2024,05,11,12.2
IDCJAC0016,040913,2024,05,12,10.3
IDCJAC0016,040913,2024,05,13,15.7
IDCJAC0016,040913,2024,05,14,15.5
IDCJAC0016,040913,2024,05,15,14.6
IDCJAC0016,040913,2024,05,16,8.1
IDCJAC0016,040913,2024,05,17,11.5
IDCJAC0016,040913,2024,05,18,14.9
IDCJAC0016,040913,2024,05,19,15.2
IDCJAC0016,040913,2024,05,20,15.1
IDCJAC0016,040913,2024,05,21,13.8
IDCJAC0016,040913,2024,05,22,12.0
IDCJAC0016,040913,2024,05,23,14.9
IDCJAC0016,040913,2024,05,24,13.7
IDCJAC0016,040913,2024,05,25,10.2
IDCJAC0016,040913,2024,05,26,12.2
IDCJAC0016,040913,2024,05,27,14.1
IDCJAC0016,040913,2024,05,28,9.6
IDCJAC0016,040913,2024,05,29,12.9
IDCJAC0016,040913,2024,05,30,10.1
IDCJAC0016,040913,2024,05,31,12.9
IDCJAC0016,040913,2024,06,01,6.5
IDCJAC0016,040913,2024,06,02,14.3
IDCJAC0016,040913,2024,06,03,14.2
IDCJAC0016,040913,2024,06,04,14.2
IDCJAC0016,040913,2024,06,05,14.0
IDCJAC0016,040913,2024,06,06,14.1
IDCJAC0016,040913,2024,06,07,14.1
IDCJAC0016,040913,2024,06,08,14.0
IDCJAC0016,040913,2024,06,09,12.7
IDCJAC0016,040913,2024,06,10,13.9
IDCJAC0016,040913,2024,06,11,13.9
IDCJAC0016,040913,2024,06,12,13.9
IDCJAC0016,040913,2024,06,13,13.9
IDCJAC0016,040913,2024,06,14,13.9
IDCJAC0016,040913,2024,06,15,13.6
IDCJAC0016,040913,2024,06,16,13.8
IDCJAC0016,040913,2024,06,17,13.9
IDCJAC0016,040913,2024,06,18,13.9
IDCJAC0016,040913,2024,06,19,13.8
IDCJAC0016,040913,2024,06,20,12.4
IDCJAC0016,040913,2024,06,21,13.2
IDCJAC0016,040913,2024,06,22,9.1
IDCJAC0016,040913,2024,06,23,13.7
IDCJAC0016,040913,2024,06,24,13.1
IDCJAC0016,040913,2024,06,25,13.4
IDCJAC0016,040913,2024,06,26,13.4
IDCJAC0016,040913,2024,06,27,13.6
IDCJAC0016,040913,2024,06,28,13.4
IDCJAC0016,040913,2024,06,29,11.2
IDCJAC0016,040913,2024,06,30,12.9
IDCJAC0016,040913,2024,07,01,5.3
IDCJAC0016,040913,2024,07,02,7.0
IDCJAC0016,040913,2024,07,03,9.8
IDCJAC0016,040913,2024,07,04,13.1
IDCJAC0016,040913,2024,07,05,12.9
IDCJAC0016,040913,2024,07,06,13.3
IDCJAC0016,040913,2024,07,07,13.4
IDCJAC0016,040913,2024,07,08,9.8
IDCJAC0016,040913,2024,07,09,9.7
IDCJAC0016,040913,2024,07,10,13.0
IDCJAC0016,040913,2024,07,11,13.9
IDCJAC0016,040913,2024,07,12,14.5
IDCJAC0016,040913,2024,07,13,13.0
IDCJAC0016,040913,2024,07,14,14.7
IDCJAC0016,040913,2024,07,15,14.6
IDCJAC0016,040913,2024,07,16,14.6
IDCJAC0016,040913,2024,07,17,14.8
IDCJAC0016,040913,2024,07,18,14.7
IDCJAC0016,040913,2024,07,19,15.0
IDCJAC0016,040913,2024,07,20,15.0
IDCJAC0016,040913,2024,07,21,15.1
IDCJAC0016,040913,2024,07,22,15.2
IDCJAC0016,040913,2024,07,23,15.3
IDCJAC0016,040913,2024,07,24,13.7
IDCJAC0016,040913,2024,07,25,13.8
IDCJAC0016,040913,2024,07,26,14.6
IDCJAC0016,040913,2024,07,27,12.8
IDCJAC0016,040913,2024,07,28,13.1
IDCJAC0016,040913,2024,07,29,15.8
IDCJAC0016,040913,2024,07,30,15.9
IDCJAC0016,040913,2024,07,31,16.0
IDCJAC0016,040913,2024,08,01,16.1
IDCJAC0016,040913,2024,08,02,16.1
IDCJAC0016,040913,2024,08,03,15.2
IDCJAC0016,040913,2024,08,04,15.7
IDCJAC0016,040913,2024,08,05,12.1
IDCJAC0016,040913,2024,08,06,13.6
IDCJAC0016,040913,2024,08,07,14.4
IDCJAC0016,040913,2024,08,08,11.5
IDCJAC0016,040913,2024,08,09,12.8
IDCJAC0016,040913,2024,08,10,13.6
IDCJAC0016,040913,2024,08,11,15.4
IDCJAC0016,040913,2024,08,12,10.8
IDCJAC0016,040913,2024,08,13,7.0
IDCJAC0016,040913,2024,08,14,7.4
IDCJAC0016,040913,2024,08,15,12.4
IDCJAC0016,040913,2024,08,16,16.7
IDCJAC0016,040913,2024,08,17,17.6
IDCJAC0016,040913,2024,08,18,18.1
IDCJAC0016,040913,2024,08,19,16.1
IDCJAC0016,040913,2024,08,20,15.3
IDCJAC0016,040913,2024,08,21,17.5
IDCJAC0016,040913,2024,08,22,18.6
IDCJAC0016,040913,2024,08,23,16.2
IDCJAC0016,040913,2024,08,24,18.7
IDCJAC0016,040913,2024,08,25,19.0
IDCJAC0016,040913,2024,08,26,18.5
IDCJAC0016,040913,2024,08,27,17.4
IDCJAC0016,040913,2024,08,28,19.4
IDCJAC0016,040913,2024,08,29,19.6
IDCJAC0016,040913,2024,08,30,19.7
IDCJAC0016,040913,2024,08,31,19.8
IDCJAC0016,040913,2024,09,01,20.0
IDCJAC0016,040913,2024,09,02,20.1
IDCJAC0016,040913,2024,09,03,20.2
IDCJAC0016,040913,2024,09,04,16.0
IDCJAC0016,040913,2024,09,05,16.0
IDCJAC0016,040913,2024,09,06,20.5
IDCJAC0016,040913,2024,09,07,20.8
IDCJAC0016,040913,2024,09,08,20.9
IDCJAC0016,040913,2024,09,09,20.8
IDCJAC0016,040913,2024,09,10,15.0
IDCJAC0016,040913,2024,09,11,17.0
IDCJAC0016,040913,2024,09,12,18.7
IDCJAC0016,040913,2024,09,13,19.9
IDCJAC0016,040913,2024,09,14,18.7
IDCJAC0016,040913,2024,09,15,21.4
IDCJAC0016,040913,2024,09,16,22.1
IDCJAC0016,040913,2024,09,17,20.1
IDCJAC0016,040913,2024,09,18,20.5
IDCJAC0016,040913,2024,09,19,18.3
IDCJAC0016,040913,2024,09,20,22.2
IDCJAC0016,040913,2024,09,21,22.7
IDCJAC0016,040913,2024,09,22,22.4
IDCJAC0016,040913,2024,09,23,23.3
IDCJAC0016,040913,2024,09,24,21.8
IDCJAC0016,040913,2024,09,25,23.5
IDCJAC0016,040913,2024,09,26,17.9
IDCJAC0016,040913,2024,09,27,12.5
IDCJAC0016,040913,2024,09,28,13.1
IDCJAC0016,040913,2024,09,29,21.4
IDCJAC0016,040913,2024,09,30,22.5
IDCJAC0016,040913,2024,10,01,19.3
IDCJAC0016,040913,2024,10,02,20.0
IDCJAC0016,040913,2024,10,03,20.1
IDCJAC0016,040913,2024,10,04,25.1
IDCJAC0016,040913,2024,10,05,24.9
IDCJAC0016,040913,2024,10,06,24.9
IDCJAC0016,040913,2024,10,07,25.3
IDCJAC0016,040913,2024,10,08,20.7
IDCJAC0016,040913,2024,10,09,13.9
IDCJAC0016,040913,2024,10,10,15.2
IDCJAC0016,040913,2024,10,11,20.7
IDCJAC0016,040913,2024,10,12,26.1
IDCJAC0016,040913,2024,10,13,11.1
IDCJAC0016,040913,2024,10,14,19.6
IDCJAC0016,040913,2024,10,15,23.1
IDCJAC0016,040913,2024,10,16,16.5
IDCJAC0016,040913,2024,10,17,26.4
IDCJAC0016,040913,2024,10,18,24.4
IDCJAC0016,040913,2024,10,19,24.6
IDCJAC0016,040913,2024,10,20,20.3
IDCJAC0016,040913,2024,10,21,23.0
IDCJAC0016,040913,2024,10,22,21.9
IDCJAC0016,040913,2024,10,23,24.2
IDCJAC0016,040913,2024,10,24,22.5
IDCJAC0016,040913,2024,10,25,27.9
IDCJAC0016,040913,2024,10,26,21.9
IDCJAC0016,040913,2024,10,27,21.9
IDCJAC0016,040913,2024,10,28,13.1
IDCJAC0016,040913,2024,10,29,28.2
IDCJAC0016,040913,2024,10,30,23.1
IDCJAC0016,040913,2024,10,31,27.1
IDCJAC0016,040913,2024,11,01,27.4
IDCJAC0016,040913,2024,11,02,25.3
IDCJAC0016,040913,2024,11,03,26.4
IDCJAC0016,040913,2024,11,04,28.5
IDCJAC0016,040913,2024,11,05,29.0
IDCJAC0016,040913,2024,11,06,28.3
IDCJAC0016,040913,2024,11,07,29.2
IDCJAC0016,040913,2024,11,08,11.0
IDCJAC0016,040913,2024,11,09,24.3
IDCJAC0016,040913,2024,11,10,20.6
IDCJAC0016,040913,2024,11,11,21.9
IDCJAC0016,040913,2024,11,12,12.7
IDCJAC0016,040913,2024,11,13,18.8
IDCJAC0016,040913,2024,11,14,26.8
IDCJAC0016,040913,2024,11,15,18.5
IDCJAC0016,040913,2024,11,16,9.9
IDCJAC0016,040913,2024,11,17,27.3
IDCJAC0016,040913,2024,11,18,26.4
IDCJAC0016,040913,2024,11,19,7.3
IDCJAC0016,040913,2024,11,20,7.8
IDCJAC0016,040913,2024,11,21,11.3
IDCJAC0016,040913,2024,11,22,10.7
IDCJAC0016,040913,2024,11,23,21.5
IDCJAC0016,040913,2024,11,24,27.4
IDCJAC0016,040913,2024,11,25,29.1
IDCJAC0016,040913,2024,11,26,26.8
IDCJAC0016,040913,2024,11,27,25.2
IDCJAC0016,040913,2024,11,28,24.3
IDCJAC0016,040913,2024,11,29,21.6
IDCJAC0016,040913,2024,11,30,
IDCJAC0016,040913,2024,12,01,14.2
IDCJAC0016,040913,2024,12,02,28.4
IDCJAC0016,040913,2024,12,03,26.7
IDCJAC0016,040913,2024,12,04,20.0
IDCJAC0016,040913,2024,12,05,24.2
IDCJAC0016,040913,2024,12,06,29.0
IDCJAC0016,040913,2024,12,07,28.9
IDCJAC0016,040913,2024,12,08,31.3
IDCJAC0016,040913,2024,12,09,14.2
IDCJAC0016,040913,2024,12,10,7.7
IDCJAC0016,040913,2024,12,11,9.4
IDCJAC0016,040913,2024,12,12,30.3
IDCJAC0016,040913,2024,12,13,25.9
IDCJAC0016,040913,2024,12,14,10.3
IDCJAC0016,040913,2024,12,15,19.3
IDCJAC0016,040913,2024,12,16,19.1
IDCJAC0016,040913,2024,12,17,21.8
IDCJAC0016,040913,2024,12,18,17.8
IDCJAC0016,040913,2024,12,19,24.8
IDCJAC0016,040913,2024,12,20,26.5
IDCJAC0016,040913,2024,12,21,29.5
IDCJAC0016,040913,2024,12,22,31.5
IDCJAC0016,040913,2024,12,23,30.8
IDCJAC0016,040913,2024,12,24,30.0
IDCJAC0016,040913,2024,12,25,27.4
IDCJAC0016,040913,2024,12,26,31.5
IDCJAC0016,040913,2024,12,27,31.5
IDCJAC0016,040913,2024,12,28,31.0
IDCJAC0016,040913,2024,12,29,20.6
IDCJAC0016,040913,2024,12,30,24.1
IDCJAC0016,040913,2024,12,31,19.9
