Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,086338,2024,04,07,20.3,1,Y
IDCJAC0010,086338,2024,04,08,20.6,1,Y
IDCJAC0010,086338,2024,04,09,16.6,1,Y
IDCJAC0010,086338,2024,04,10,17.8,1,Y
IDCJAC0010,086338,2024,04,11,17.7,1,Y
IDCJAC0010,086338,2024,04,12,17.7,1,Y
IDCJAC0010,086338,2024,04,13,19.0,1,Y
IDCJAC0010,086338,2024,04,14,19.1,1,Y
IDCJAC0010,086338,2024,04,15,20.4,1,Y
IDCJAC0010,086338,2024,04,16,19.0,1,Y
IDCJAC0010,086338,2024,04,17,18.1,1,Y
IDCJAC0010,086338,2024,04,18,16.9,1,Y
IDCJAC0010,086338,2024,04,19,18.9,1,Y
IDCJAC0010,086338,2024,04,20,17.4,1,Y
IDCJAC0010,086338,2024,04,21,16.4,1,Y
IDCJAC0010,086338,2024,04,22,24.3,1,Y
IDCJAC0010,086338,2024,04,23,25.3,1,Y
IDCJAC0010,086338,2024,04,24,16.6,1,Y
IDCJAC0010,086338,2024,04,25,15.9,1,Y
IDCJAC0010,086338,2024,04,26,15.3,1,Y
IDCJAC0010,086338,2024,04,27,18.0,1,Y
IDCJAC0010,086338,2024,04,28,22.6,1,Y
IDCJAC0010,086338,2024,04,29,16.4,1,Y
IDCJAC0010,086338,2024,04,30,15.3,1,Y
IDCJAC0010,086338,2024,05,01,18.8,1,Y
IDCJAC0010,086338,2024,05,02,16.6,1,Y
IDCJAC0010,086338,2024,05,03,17.1,1,Y
IDCJAC0010,086338,2024,05,04,16.4,1,Y
IDCJAC0010,086338,2024,05,05,18.3,1,Y
IDCJAC0010,086338,2024,05,06,19.7,1,Y
IDCJAC0010,086338,2024,05,07,16.4,1,Y
IDCJAC0010,086338,2024,05,08,18.3,1,Y
IDCJAC0010,086338,2024,05,09,16.6,1,Y
IDCJAC0010,086338,2024,05,10,17.1,1,Y
IDCJAC0010,086338,2024,05,11,19.2,1,Y
IDCJAC0010,086338,2024,05,12,18.7,1,Y
IDCJAC0010,086338,2024,05,13,18.9,1,Y
IDCJAC0010,086338,2024,05,14,16.7,1,Y
IDCJAC0010,086338,2024,05,15,17.8,1,Y
IDCJAC0010,086338,2024,05,16,17.7,1,Y
IDCJAC0010,086338,2024,05,17,15.8,1,Y
IDCJAC0010,086338,2024,05,18,13.9,1,Y
IDCJAC0010,086338,2024,05,19,15.4,1,Y
IDCJAC0010,086338,2024,05,20,14.7,1,Y
IDCJAC0010,086338,2024,05,21,14.7,1,Y
IDCJAC0010,086338,2024,05,22,16.2,1,Y
IDCJAC0010,086338,2024,05,23,15.2,1,Y
IDCJAC0010,086338,2024,05,24,13.7,1,Y
IDCJAC0010,086338,2024,05,25,17.1,1,Y
IDCJAC0010,086338,2024,05,26,16.7,1,Y
IDCJAC0010,086338,2024,05,27,20.2,1,Y
IDCJAC0010,086338,2024,05,28,20.0,1,Y
IDCJAC0010,086338,2024,05,29,19.5,1,Y
IDCJAC0010,086338,2024,05,30,20.4,1,Y
IDCJAC0010,086338,2024,05,31,18.4,1,Y
IDCJAC0010,086338,2024,06,01,14.0,1,N
IDCJAC0010,086338,2024,06,02,13.9,1,N
IDCJAC0010,086338,2024,06,03,14.6,1,N
IDCJAC0010,086338,2024,06,04,13.8,1,N
IDCJAC0010,086338,2024,06,05,14.7,1,N
IDCJAC0010,086338,2024,06,06,17.1,1,N
IDCJAC0010,086338,2024,06,07,16.0,1,Y
IDCJAC0010,086338,2024,06,08,14.3,1,N
IDCJAC0010,086338,2024,06,09,14.6,1,N
IDCJAC0010,086338,2024,06,10,15.6,1,N
IDCJAC0010,086338,2024,06,11,16.8,1,N
IDCJAC0010,086338,2024,06,12,12.9,1,N
IDCJAC0010,086338,2024,06,13,10.1,1,N
IDCJAC0010,086338,2024,06,14,12.2,1,N
IDCJAC0010,086338,2024,06,15,14.4,1,N
IDCJAC0010,086338,2024,06,16,13.4,1,N
IDCJAC0010,086338,2024,06,17,13.9,1,N
IDCJAC0010,086338,2024,06,18,13.0,1,N
IDCJAC0010,086338,2024,06,19,12.9,1,N
IDCJAC0010,086338,2024,06,20,13.9,1,N
IDCJAC0010,086338,2024,06,21,13.2,1,N
IDCJAC0010,086338,2024,06,22,13.3,1,N
IDCJAC0010,086338,2024,06,23,15.0,1,N
IDCJAC0010,086338,2024,06,24,13.5,1,N
IDCJAC0010,086338,2024,06,25,16.8,1,N
IDCJAC0010,086338,2024,06,26,14.4,1,N
IDCJAC0010,086338,2024,06,27,16.6,1,N
IDCJAC0010,086338,2024,06,28,16.8,1,N
IDCJAC0010,086338,2024,06,29,12.9,1,N
IDCJAC0010,086338,2024,06,30,12.2,1,N
IDCJAC0010,086338,2024,07,01,12.0,1,Y
IDCJAC0010,086338,2024,07,02,12.4,1,Y
IDCJAC0010,086338,2024,07,03,11.7,1,Y
IDCJAC0010,086338,2024,07,04,11.9,1,Y
IDCJAC0010,086338,2024,07,05,11.4,1,Y
IDCJAC0010,086338,2024,07,06,10.5,1,Y
IDCJAC0010,086338,2024,07,07,16.9,1,Y
IDCJAC0010,086338,2024,07,08,16.6,1,Y
IDCJAC0010,086338,2024,07,09,13.1,1,Y
IDCJAC0010,086338,2024,07,10,14.3,1,Y
IDCJAC0010,086338,2024,07,11,13.6,1,Y
IDCJAC0010,086338,2024,07,12,14.8,1,Y
IDCJAC0010,086338,2024,07,13,13.7,1,Y
IDCJAC0010,086338,2024,07,14,12.0,1,Y
IDCJAC0010,086338,2024,07,15,12.1,1,Y
IDCJAC0010,086338,2024,07,16,13.6,1,Y
IDCJAC0010,086338,2024,07,17,14.0,1,Y
IDCJAC0010,086338,2024,07,18,12.1,1,Y
IDCJAC0010,086338,2024,07,19,12.1,1,Y
IDCJAC0010,086338,2024,07,20,12.2,1,Y
IDCJAC0010,086338,2024,07,21,16.6,1,Y
IDCJAC0010,086338,2024,07,22,17.1,1,Y
IDCJAC0010,086338,2024,07,23,17.7,1,Y
IDCJAC0010,086338,2024,07,24,15.8,1,Y
IDCJAC0010,086338,2024,07,25,13.7,1,Y
IDCJAC0010,086338,2024,07,26,14.5,1,Y
IDCJAC0010,086338,2024,07,27,11.8,1,Y
IDCJAC0010,086338,2024,07,28,11.7,1,Y
IDCJAC0010,086338,2024,07,29,11.7,1,Y
IDCJAC0010,086338,2024,07,30,13.9,1,Y
IDCJAC0010,086338,2024,07,31,10.2,1,Y
IDCJAC0010,086338,2024,08,01,16.3,1,Y
IDCJAC0010,086338,2024,08,02,15.7,1,Y
IDCJAC0010,086338,2024,08,03,14.5,1,Y
IDCJAC0010,086338,2024,08,04,15.3,1,Y
IDCJAC0010,086338,2024,08,05,15.8,1,Y
IDCJAC0010,086338,2024,08,06,17.5,1,Y
IDCJAC0010,086338,2024,08,07,17.9,1,Y
IDCJAC0010,086338,2024,08,08,14.0,1,Y
IDCJAC0010,086338,2024,08,09,18.1,1,Y
IDCJAC0010,086338,2024,08,10,17.4,1,Y
IDCJAC0010,086338,2024,08,11,19.8,1,Y
IDCJAC0010,086338,2024,08,12,20.7,1,Y
IDCJAC0010,086338,2024,08,13,20.5,1,Y
IDCJAC0010,086338,2024,08,14,21.9,1,Y
IDCJAC0010,086338,2024,08,15,20.9,1,Y
IDCJAC0010,086338,2024,08,16,16.6,1,Y
IDCJAC0010,086338,2024,08,17,15.0,1,Y
IDCJAC0010,086338,2024,08,18,15.4,1,Y
IDCJAC0010,086338,2024,08,19,18.6,1,Y
IDCJAC0010,086338,2024,08,20,17.9,1,Y
IDCJAC0010,086338,2024,08,21,19.2,1,Y
IDCJAC0010,086338,2024,08,22,18.9,1,Y
IDCJAC0010,086338,2024,08,23,18.9,1,Y
IDCJAC0010,086338,2024,08,24,21.8,1,Y
IDCJAC0010,086338,2024,08,25,23.5,1,Y
IDCJAC0010,086338,2024,08,26,18.6,1,Y
IDCJAC0010,086338,2024,08,27,20.2,1,Y
IDCJAC0010,086338,2024,08,28,18.6,1,Y
IDCJAC0010,086338,2024,08,29,17.6,1,Y
IDCJAC0010,086338,2024,08,30,20.2,1,Y
IDCJAC0010,086338,2024,08,31,18.5,1,Y
IDCJAC0010,086338,2024,09,01,20.4,1,N
IDCJAC0010,086338,2024,09,02,13.5,1,N
IDCJAC0010,086338,2024,09,03,16.8,1,N
IDCJAC0010,086338,2024,09,04,19.6,1,N
IDCJAC0010,086338,2024,09,05,21.0,1,N
IDCJAC0010,086338,2024,09,06,24.5,1,N
IDCJAC0010,086338,2024,09,07,20.0,1,N
IDCJAC0010,086338,2024,09,08,18.1,1,N
IDCJAC0010,086338,2024,09,09,17.6,1,N
IDCJAC0010,086338,2024,09,10,20.2,1,N
IDCJAC0010,086338,2024,09,11,19.6,1,N
IDCJAC0010,086338,2024,09,12,14.3,1,N
IDCJAC0010,086338,2024,09,13,15.6,1,N
IDCJAC0010,086338,2024,09,14,10.8,1,N
IDCJAC0010,086338,2024,09,15,13.0,1,N
IDCJAC0010,086338,2024,09,16,14.4,1,N
IDCJAC0010,086338,2024,09,17,15.0,1,N
IDCJAC0010,086338,2024,09,18,20.8,1,N
IDCJAC0010,086338,2024,09,19,16.4,1,N
IDCJAC0010,086338,2024,09,20,18.3,1,N
IDCJAC0010,086338,2024,09,21,17.5,1,N
IDCJAC0010,086338,2024,09,22,20.3,1,N
IDCJAC0010,086338,2024,09,23,18.3,1,N
IDCJAC0010,086338,2024,09,24,25.3,1,N
IDCJAC0010,086338,2024,09,25,14.3,1,N
IDCJAC0010,086338,2024,09,26,13.8,1,N
IDCJAC0010,086338,2024,09,27,15.7,1,N
IDCJAC0010,086338,2024,09,28,22.0,1,N
IDCJAC0010,086338,2024,09,29,17.3,1,N
IDCJAC0010,086338,2024,09,30,18.6,1,N
IDCJAC0010,086338,2024,10,01,17.2,1,Y
IDCJAC0010,086338,2024,10,02,17.1,1,Y
IDCJAC0010,086338,2024,10,03,26.1,1,Y
IDCJAC0010,086338,2024,10,04,24.4,1,Y
IDCJAC0010,086338,2024,10,05,20.1,1,Y
IDCJAC0010,086338,2024,10,06,20.8,1,Y
IDCJAC0010,086338,2024,10,07,18.0,1,Y
IDCJAC0010,086338,2024,10,08,14.2,1,Y
IDCJAC0010,086338,2024,10,09,19.2,1,Y
IDCJAC0010,086338,2024,10,10,20.0,1,Y
IDCJAC0010,086338,2024,10,11,16.7,1,Y
IDCJAC0010,086338,2024,10,12,17.0,1,Y
IDCJAC0010,086338,2024,10,13,24.3,1,Y
IDCJAC0010,086338,2024,10,14,19.8,1,Y
IDCJAC0010,086338,2024,10,15,26.9,1,Y
IDCJAC0010,086338,2024,10,16,25.2,1,Y
IDCJAC0010,086338,2024,10,17,25.7,1,Y
IDCJAC0010,086338,2024,10,18,21.9,1,Y
IDCJAC0010,086338,2024,10,19,16.8,1,Y
IDCJAC0010,086338,2024,10,20,17.6,1,Y
IDCJAC0010,086338,2024,10,21,27.8,1,Y
IDCJAC0010,086338,2024,10,22,30.6,1,Y
IDCJAC0010,086338,2024,10,23,19.6,1,Y
IDCJAC0010,086338,2024,10,24,16.9,1,Y
IDCJAC0010,086338,2024,10,25,15.4,1,Y
IDCJAC0010,086338,2024,10,26,22.8,1,Y
IDCJAC0010,086338,2024,10,27,25.7,1,Y
IDCJAC0010,086338,2024,10,28,17.1,1,Y
IDCJAC0010,086338,2024,10,29,18.6,1,Y
IDCJAC0010,086338,2024,10,30,21.5,1,Y
IDCJAC0010,086338,2024,10,31,18.7,1,Y
IDCJAC0010,086338,2024,11,01,16.6,1,N
IDCJAC0010,086338,2024,11,02,25.8,1,N
IDCJAC0010,086338,2024,11,03,21.3,1,N
IDCJAC0010,086338,2024,11,04,19.2,1,N
IDCJAC0010,086338,2024,11,05,26.0,1,N
IDCJAC0010,086338,2024,11,06,32.8,1,N
IDCJAC0010,086338,2024,11,07,21.6,1,N
IDCJAC0010,086338,2024,11,08,19.9,1,N
IDCJAC0010,086338,2024,11,09,19.0,1,N
IDCJAC0010,086338,2024,11,10,20.9,1,N
IDCJAC0010,086338,2024,11,11,24.7,1,N
IDCJAC0010,086338,2024,11,12,25.0,1,N
IDCJAC0010,086338,2024,11,13,18.3,1,N
IDCJAC0010,086338,2024,11,14,17.4,1,N
IDCJAC0010,086338,2024,11,15,20.7,1,N
IDCJAC0010,086338,2024,11,16,33.6,1,N
IDCJAC0010,086338,2024,11,17,23.7,1,N
IDCJAC0010,086338,2024,11,18,18.9,1,N
IDCJAC0010,086338,2024,11,19,17.1,1,N
IDCJAC0010,086338,2024,11,20,17.8,1,N
IDCJAC0010,086338,2024,11,21,25.6,1,Y
IDCJAC0010,086338,2024,11,22,37.0,1,N
IDCJAC0010,086338,2024,11,23,36.5,1,N
IDCJAC0010,086338,2024,11,24,21.9,1,N
IDCJAC0010,086338,2024,11,25,18.7,1,N
IDCJAC0010,086338,2024,11,26,26.5,1,N
IDCJAC0010,086338,2024,11,27,31.0,1,N
IDCJAC0010,086338,2024,11,28,24.8,1,N
IDCJAC0010,086338,2024,11,29,30.2,1,N
IDCJAC0010,086338,2024,11,30,23.9,1,N
IDCJAC0010,086338,2024,12,01,24.9,1,Y
IDCJAC0010,086338,2024,12,02,31.8,1,Y
IDCJAC0010,086338,2024,12,03,31.1,1,Y
IDCJAC0010,086338,2024,12,04,24.8,1,Y
IDCJAC0010,086338,2024,12,05,33.2,1,Y
IDCJAC0010,086338,2024,12,06,30.4,1,Y
IDCJAC0010,086338,2024,12,07,26.6,1,Y
IDCJAC0010,086338,2024,12,08,20.5,1,Y
IDCJAC0010,086338,2024,12,09,21.7,1,Y
IDCJAC0010,086338,2024,12,10,21.9,1,Y
