Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,040913,2024,04,09,29.1,1,Y
IDCJAC0010,040913,2024,04,10,27.2,1,Y
IDCJAC0010,040913,2024,04,11,27.7,1,Y
IDCJAC0010,040913,2024,04,12,28.0,1,Y
IDCJAC0010,040913,2024,04,13,27.3,1,Y
IDCJAC0010,040913,2024,04,14,28.1,1,Y
IDCJAC0010,040913,2024,04,15,28.3,1,Y
IDCJAC0010,040913,2024,04,16,28.8,1,Y
IDCJAC0010,040913,2024,04,17,27.3,1,Y
IDCJAC0010,040913,2024,04,18,26.3,1,Y
IDCJAC0010,040913,2024,04,19,28.3,1,Y
IDCJAC0010,040913,2024,04,20,25.7,1,Y
IDCJAC0010,040913,2024,04,21,21.9,1,Y
IDCJAC0010,040913,2024,04,22,25.9,1,Y
IDCJAC0010,040913,2024,04,23,26.3,1,Y
IDCJAC0010,040913,2024,04,24,27.7,1,Y
IDCJAC0010,040913,2024,04,25,28.6,1,Y
IDCJAC0010,040913,2024,04,26,24.3,1,Y
IDCJAC0010,040913,2024,04,27,25.5,1,Y
IDCJAC0010,040913,2024,04,28,26.1,1,Y
IDCJAC0010,040913,2024,04,29,26.0,1,Y
IDCJAC0010,040913,2024,04,30,26.4,1,Y
IDCJAC0010,040913,2024,05,01,25.9,1,Y
IDCJAC0010,040913,2024,05,02,23.6,1,Y
IDCJAC0010,040913,2024,05,03,23.3,1,Y
IDCJAC0010,040913,2024,05,04,22.8,1,Y
IDCJAC0010,040913,2024,05,05,26.4,1,Y
IDCJAC0010,040913,2024,05,06,26.2,1,Y
IDCJAC0010,040913,2024,05,07,24.2,1,Y
IDCJAC0010,040913,2024,05,08,23.8,1,Y
IDCJAC0010,040913,2024,05,09,24.6,1,Y
IDCJAC0010,040913,2024,05,10,24.8,1,Y
IDCJAC0010,040913,2024,05,11,25.3,1,Y
IDCJAC0010,040913,2024,05,12,25.6,1,Y
IDCJAC0010,040913,2024,05,13,24.2,1,Y
IDCJAC0010,040913,2024,05,14,26.6,1,Y
IDCJAC0010,040913,2024,05,15,25.6,1,Y
IDCJAC0010,040913,2024,05,16,20.4,1,Y
IDCJAC0010,040913,2024,05,17,22.3,1,Y
IDCJAC0010,040913,2024,05,18,25.3,1,Y
IDCJAC0010,040913,2024,05,19,22.8,1,Y
IDCJAC0010,040913,2024,05,20,23.1,1,Y
IDCJAC0010,040913,2024,05,21,23.0,1,Y
IDCJAC0010,040913,2024,05,22,23.8,1,Y
IDCJAC0010,040913,2024,05,23,24.1,1,Y
IDCJAC0010,040913,2024,05,24,24.0,1,Y
IDCJAC0010,040913,2024,05,25,21.6,1,Y
IDCJAC0010,040913,2024,05,26,24.0,1,Y
IDCJAC0010,040913,2024,05,27,24.4,1,Y
IDCJAC0010,040913,2024,05,28,23.6,1,Y
IDCJAC0010,040913,2024,05,29,24.2,1,Y
IDCJAC0010,040913,2024,05,30,23.1,1,Y
IDCJAC0010,040913,2024,05,31,25.8,1,Y
IDCJAC0010,040913,2024,06,01,22.4,1,N
IDCJAC0010,040913,2024,06,02,22.0,1,N
IDCJAC0010,040913,2024,06,03,20.7,1,N
IDCJAC0010,040913,2024,06,04,21.6,1,N
IDCJAC0010,040913,2024,06,05,22.5,1,N
IDCJAC0010,040913,2024,06,06,22.7,1,N
IDCJAC0010,040913,2024,06,07,19.9,1,Y
IDCJAC0010,040913,2024,06,08,21.7,1,N
IDCJAC0010,040913,2024,06,09,23.2,1,N
IDCJAC0010,040913,2024,06,10,23.4,1,N
IDCJAC0010,040913,2024,06,11,23.0,1,N
